,date,count,platform
524,2021-06-24,26,1
525,2021-06-25,53,1
526,2021-06-26,40,1
527,2021-06-27,25,1
528,2021-06-28,41,1
529,2021-06-29,32,1
530,2021-06-30,44,1
531,2021-07-01,25,1
532,2021-07-02,54,1
533,2021-07-03,30,1
534,2021-07-04,17,1
535,2021-07-05,35,1
536,2021-07-06,25,1
537,2021-07-07,37,1
538,2021-07-08,22,1
539,2021-07-09,51,1
540,2021-07-10,33,1
541,2021-07-11,20,1
542,2021-07-12,36,1
543,2021-07-13,27,1
544,2021-07-14,39,1
545,2021-07-15,28,1
546,2021-07-16,51,1
547,2021-07-17,29,1
548,2021-07-18,26,1
549,2021-07-19,33,1
550,2021-07-20,25,1
551,2021-07-21,37,1
552,2021-07-22,25,1
553,2021-07-23,50,1
554,2021-07-24,30,1
555,2021-07-25,23,1
556,2021-07-26,38,1
557,2021-07-27,29,1
558,2021-07-28,36,1
559,2021-07-29,24,1
560,2021-07-30,53,1
561,2021-07-31,34,1
562,2021-08-01,21,1
563,2021-08-02,36,1
564,2021-08-03,25,1
565,2021-08-04,38,1
566,2021-08-05,29,1
567,2021-08-06,54,1
568,2021-08-07,32,1
569,2021-08-08,24,1
570,2021-08-09,36,1
571,2021-08-10,27,1
572,2021-08-11,40,1
573,2021-08-12,31,1
574,2021-08-13,52,1
575,2021-08-14,29,1
576,2021-08-15,17,1
577,2021-08-16,37,1
578,2021-08-17,26,1
579,2021-08-18,35,1
580,2021-08-19,28,1
581,2021-08-20,55,1
582,2021-08-21,31,1
583,2021-08-22,20,1
584,2021-08-23,37,1
585,2021-08-24,29,1
586,2021-08-25,40,1
593,2020-08-18,1,2
594,2020-08-23,1,2
595,2020-08-27,1,2
596,2020-08-28,1,2
597,2020-08-29,1,2
598,2020-08-30,1,2
599,2020-08-31,1,2
600,2020-09-01,1,2
601,2020-09-02,1,2
602,2020-09-03,1,2
603,2020-09-05,1,2
604,2020-09-06,1,2
605,2020-09-07,1,2
606,2020-09-08,1,2
607,2020-09-09,1,2
608,2020-09-10,1,2
609,2020-09-11,1,2
610,2020-09-12,1,2
611,2020-09-13,1,2
612,2020-09-16,1,2
613,2020-09-17,1,2
614,2020-09-18,1,2
615,2020-09-19,1,2
616,2020-09-20,1,2
617,2020-09-21,1,2
618,2020-09-22,1,2
619,2020-09-23,1,2
620,2020-09-24,1,2
621,2020-09-25,1,2
622,2020-09-26,1,2
623,2020-09-27,1,2
624,2020-09-28,1,2
625,2020-09-29,1,2
626,2020-09-30,1,2
627,2020-10-01,1,2
628,2020-10-02,1,2
629,2020-10-03,1,2
630,2020-10-04,1,2
631,2020-10-05,1,2
632,2020-10-09,1,2
633,2020-10-10,1,2
634,2020-10-11,1,2
635,2020-10-12,1,2
636,2020-10-13,1,2
637,2020-10-14,1,2
638,2020-10-15,1,2
639,2021-06-01,86,3
640,2021-06-02,102,3
641,2021-06-03,93,3
642,2021-06-04,94,3
643,2021-06-05,56,3
644,2021-06-06,18,3
645,2021-06-07,67,3
646,2021-06-08,88,3
647,2021-06-09,102,3
648,2021-06-10,88,3
649,2021-06-11,94,3
650,2021-06-12,58,3
651,2021-06-13,18,3
652,2021-06-14,67,3
653,2021-06-15,87,3
654,2021-06-16,101,3
655,2021-06-17,92,3
656,2021-06-18,93,3
657,2021-06-19,56,3
658,2021-06-20,19,3
659,2021-06-21,67,3
660,2021-06-22,87,3
661,2021-06-23,101,3
662,2021-06-24,92,3
663,2021-06-25,93,3
664,2021-06-26,56,3
665,2021-06-27,18,3
666,2021-06-28,67,3
667,2021-06-29,91,3
668,2021-06-30,110,3
669,2021-07-31,7,3
670,2021-08-03,4,3
671,2021-08-04,1,3
672,2021-08-05,1,3
673,2021-08-06,1,3
674,2021-08-09,2,3
675,2021-08-10,3,3
676,2021-08-11,1,3
677,2021-08-12,1,3
678,2021-08-13,1,3
679,2021-08-15,1,3
680,2021-08-16,6,3
681,2021-08-17,27,3
682,2021-08-18,46,3
683,2021-08-19,51,3
684,2021-08-20,70,3
685,2021-08-21,41,3
686,2021-08-22,21,3
687,2021-08-23,59,3
688,2021-08-24,81,3
689,2021-08-25,91,3
697,2020-12-15,6,4
698,2020-12-16,4,4
699,2020-12-17,9,4
700,2020-12-18,7,4
701,2020-12-19,1,4
702,2020-12-20,1,4
703,2020-12-22,7,4
704,2020-12-23,6,4
705,2020-12-24,7,4
706,2020-12-25,4,4
707,2020-12-26,1,4
708,2020-12-29,6,4
709,2020-12-30,22,4
710,2020-12-31,8,4
711,2021-01-01,3,4
712,2021-01-02,3,4
713,2021-01-03,2,4
714,2021-01-04,8,4
715,2021-01-05,18,4
716,2021-01-06,12,4
717,2021-01-07,16,4
718,2021-01-08,8,4
719,2021-01-09,3,4
720,2021-01-10,2,4
721,2021-01-11,11,4
722,2021-01-12,19,4
723,2021-01-13,16,4
724,2021-01-14,13,4
725,2021-01-15,16,4
726,2021-01-16,5,4
727,2021-01-17,3,4
728,2021-01-18,10,4
729,2021-01-19,18,4
730,2021-01-20,16,4
731,2021-01-21,14,4
732,2021-01-22,14,4
733,2021-01-23,5,4
734,2021-01-24,3,4
735,2021-01-25,10,4
736,2021-01-26,18,4
737,2021-01-27,17,4
738,2021-01-28,10,4
739,2021-01-29,14,4
740,2021-01-30,4,4
